# ZAP baseline triage. Columns: <pluginId>\t<action: IGNORE|WARN|FAIL>\t<comment>
# Default action for anything not listed is WARN (won't fail the build). Set FAIL for the alerts we
# must never regress on. Tighten as the app is hardened; every IGNORE needs a written justification.
#
# --- Known-safe / handled elsewhere (IGNORE) ------------------------------------------------
10096	IGNORE	Timestamp disclosure — Micrometer/actuator numeric fields flagged as timestamps; not sensitive.
10015	IGNORE	Cache-control on API JSON — APIs are non-cacheable by clients; not a data-leak vector here.
10027	IGNORE	Info disclosure in comments — static demo page only; consoles are on Vercel, not this origin.
#
# --- Must-not-regress (FAIL): the Branch 1 security headers + no-leak guarantees -------------
10038	FAIL	CSP header missing — B1.4 sets CSP under prod; a missing CSP on a prod scan is a regression.
10020	FAIL	X-Frame-Options / anti-clickjacking — B1.4 sets frame-ancestors 'none' + frameOptions DENY.
10021	FAIL	X-Content-Type-Options missing — B1.4 sets nosniff always.
10035	WARN	HSTS — only meaningful once served over the prod domain with TLS at origin; WARN on staging.
90022	FAIL	Application error disclosure — B1.6 pins server.error.include-*: never; a stack trace = leak.
40012	FAIL	Reflected XSS — must never appear.
40018	FAIL	SQL injection — must never appear (JPA/bound params throughout).
